Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 26, 'cpu': 21.2, 'memory': 39.8, 'switches': {6: 2, 1: 4, 3: 3, 8: 3, 2: 3, 7: 3, 9: 3, 4: 2, 5: 3}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 21.2, 'memory': 39.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 19.5, 'memory': 39.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 17, 'cpu': 25.6, 'memory': 39.7, 'switches': {6: 2, 1: 2, 3: 3, 8: 1, 2: 2, 7: 1, 9: 2, 4: 2, 5: 2}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 25.6, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 26.1, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 71, 'cpu': 14.8, 'memory': 39.8, 'switches': {6: 8, 1: 8, 3: 7, 8: 8, 2: 8, 7: 8, 9: 8, 4: 8, 5: 8}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 14.8, 'memory': 39.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 14.3, 'memory': 39.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 13.3, 'memory': 40.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 13.3, 'memory': 40.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 12.8, 'memory': 40.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 7.1, 'memory': 40.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 7.2, 'memory': 40.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
